n,W,b,Tiempo,Metodo,nodo
8900,1000,7548,317.203,Dinamica,118
9000,2300,7845,319.909,Dinamica,1289
3400,7300,5030,21.209,Dinamica,350
1300,5100,3206,2.17815,Dinamica,241
7400,4700,7268,101.212,Dinamica,1689
1300,9800,3346,2.18332,Dinamica,122
9100,7300,7833,328.25,Dinamica,1887
9900,1700,8013,481.971,Dinamica,120
7500,3500,6310,101.668,Dinamica,772
3500,7100,4624,20.3833,Dinamica,1130
3900,6700,5082,28.049,Dinamica,911
8700,1800,7424,290.44,Dinamica,266
4000,4400,4578,29.2193,Dinamica,366
200,7400,923,0.176744,Dinamica,149
5800,4400,6653,59.5565,Dinamica,883
8000,5900,7700,116.384,Dinamica,1501
1200,5900,3307,3.13915,Dinamica,214
9300,2300,7842,365.82,Dinamica,2466
2300,900,4027,12.6177,Dinamica,99
8100,9000,7194,119.058,Dinamica,1152
9600,7600,8457,418.383,Dinamica,2271
3500,7800,4914,23.5105,Dinamica,736
4000,7800,5104,30.1339,Dinamica,1658
2800,1900,3891,15.6878,Dinamica,252
5100,4100,5470,44.4057,Dinamica,86
8500,5100,7683,251.08,Dinamica,350
4500,600,5489,34.9528,Dinamica,2496
8500,6500,7582,250.287,Dinamica,231
9700,3900,7996,437.756,Dinamica,1621
1100,6400,2732,2.38502,Dinamica,766
9000,7800,7630,323.637,Dinamica,189
2600,8400,4544,15.1614,Dinamica,197
1200,5700,2865,2.56196,Dinamica,161
100,2400,842,0.088608,Dinamica,115
2800,8900,4455,15.8497,Dinamica,1514
2800,4100,4476,16.1364,Dinamica,880
500,5500,2078,1.07554,Dinamica,546
9900,8500,7940,476.295,Dinamica,143
8300,7800,7127,136.274,Dinamica,1006
2100,5200,3448,10.2016,Dinamica,256
1000,3200,2743,2.39016,Dinamica,1445
600,6000,2135,1.88481,Dinamica,613
10000,2400,8370,481.893,Dinamica,1974
2500,7200,3790,13.1736,Dinamica,969
2200,5000,4183,12.8025,Dinamica,1441
8300,4300,7473,132.544,Dinamica,1008
6600,9900,6119,79.1439,Dinamica,2906
9700,10000,8605,433.987,Dinamica,1540
9400,7700,8025,394.179,Dinamica,130
6300,50,3962,73.6243,Dinamica,50
6800,9500,6347,84.9522,Dinamica,481
3400,1400,4603,19.5853,Dinamica,851
1100,6700,2900,2.93592,Dinamica,580
7600,6900,6718,104.062,Dinamica,1423
3700,8100,4578,27.7761,Dinamica,327
