n,W,b,Tiempo,Metodo,nodos
2,100,75,0.00794,Fuerza Bruta
2,100,75,0.005085,Fuerza Bruta
3,100,93,0.008348,Fuerza Bruta
4,100,191,0.009075,Fuerza Bruta
5,100,205,0.013224,Fuerza Bruta
6,100,242,0.017535,Fuerza Bruta
7,100,90,0.026026,Fuerza Bruta
8,100,261,0.046978,Fuerza Bruta
9,100,361,0.087044,Fuerza Bruta
10,100,444,0.166432,Fuerza Bruta
11,100,269,0.347818,Fuerza Bruta
12,100,262,0.671733,Fuerza Bruta
13,100,271,1.33854,Fuerza Bruta
14,100,292,2.78189,Fuerza Bruta
15,100,283,5.55294,Fuerza Bruta
16,100,171,11.9476,Fuerza Bruta
17,100,207,22.2473,Fuerza Bruta
18,100,328,44.9043,Fuerza Bruta
19,100,162,91.1482,Fuerza Bruta
20,100,456,183.43,Fuerza Bruta
21,100,329,373.734,Fuerza Bruta
22,100,576,744.846,Fuerza Bruta
23,100,316,1530.4,Fuerza Bruta
24,100,274,3099.07,Fuerza Bruta
25,100,299,6228.96,Fuerza Bruta
26,100,251,12579,Fuerza Bruta
27,100,427,25520.7,Fuerza Bruta
28,100,452,56526.3,Fuerza Bruta
29,100,343,127230,Fuerza Bruta
30,100,538,273907,Fuerza Bruta
31,100,496,519753,Fuerza Bruta
32,100,535,1.04772e+06,Fuerza Bruta
33,100,388,1.77627e+06,Fuerza Bruta
34,100,449,3.56024e+06,Fuerza Bruta
35,100,513,7.24258e+06,Fuerza Bruta
36,100,556,1.44406e+07,Fuerza Bruta
2,2,138,0.022512,Fuerza Bruta
3,2,81,0.020671,Fuerza Bruta
4,2,113,0.019483,Fuerza Bruta
5,2,155,0.022263,Fuerza Bruta
6,2,175,0.031723,Fuerza Bruta
7,2,158,0.06821,Fuerza Bruta
8,2,176,0.098352,Fuerza Bruta
9,2,165,0.184714,Fuerza Bruta
10,2,185,0.447293,Fuerza Bruta
11,2,174,0.650893,Fuerza Bruta
12,2,184,1.32697,Fuerza Bruta
13,2,191,2.80581,Fuerza Bruta
14,2,164,6.20331,Fuerza Bruta
15,2,178,12.6265,Fuerza Bruta
16,2,180,25.3446,Fuerza Bruta
17,2,170,44.0314,Fuerza Bruta
18,2,173,86.0188,Fuerza Bruta
19,2,191,173.7,Fuerza Bruta
20,2,183,347.077,Fuerza Bruta
21,2,183,715.635,Fuerza Bruta
22,2,190,1465.14,Fuerza Bruta
23,2,185,2986.2,Fuerza Bruta
24,2,192,6115.36,Fuerza Bruta
25,2,169,12447.1,Fuerza Bruta
26,2,186,25374.2,Fuerza Bruta
1,3,97,0.00776,Fuerza Bruta
2,3,105,0.010789,Fuerza Bruta
3,3,65,0.01992,Fuerza Bruta
4,3,156,0.020432,Fuerza Bruta
