n,W,b,Tiempo,Metodo,nodos
5000,2600,5832,535.639,Dinamica,
8100,300,7147,98.3845,Dinamica,
4600,4200,5531,814.256,Dinamica,
6400,5400,6580,1616.95,Dinamica,
9300,4500,7767,2143.04,Dinamica,
8400,7800,7131,3510.9,Dinamica,
5500,3500,6175,828.396,Dinamica,
800,5700,2168,147.197,Dinamica,
9400,900,8072,369.031,Dinamica,
4300,8500,5390,1720.85,Dinamica,
2600,7500,4524,819.997,Dinamica,
7100,4300,6842,1409.69,Dinamica,
3600,3000,4923,431.853,Dinamica,
1600,2400,3186,128.209,Dinamica,
5700,4600,5936,1174.5,Dinamica,
7600,8600,6913,3459.11,Dinamica,
6300,1900,7378,518.779,Dinamica,
8100,3600,7852,1398.85,Dinamica,
7400,7400,6449,2913.17,Dinamica,
3700,9500,4425,1751.69,Dinamica,
2100,8800,3606,776.872,Dinamica,
8600,700,7424,249.603,Dinamica,
5000,7800,5713,1944.47,Dinamica,
1800,8600,3402,620.203,Dinamica,
2800,6500,4111,735.661,Dinamica,
6800,9700,6597,3519.76,Dinamica,
2300,6300,3298,568.734,Dinamica,
2300,50,2935,6.70333,Dinamica,
3800,9700,4698,1767.82,Dinamica,
7100,5000,7104,1700.72,Dinamica,
6600,5600,5635,1785.26,Dinamica,
4900,700,5476,134.816,Dinamica,
7700,6400,8193,2437.24,Dinamica,
1100,2500,2767,91.2746,Dinamica,
2400,3700,3841,336.609,Dinamica,
300,6000,1468,51.7317,Dinamica,
6300,4200,5838,1236.94,Dinamica,
100,9600,824,15.9707,Dinamica,
7300,9000,6715,3630.31,Dinamica,
4000,5200,5531,874.336,Dinamica,
5800,5200,6192,1354.81,Dinamica,
2000,3400,3879,236.171,Dinamica,
2900,4800,4635,561.89,Dinamica,
3000,8300,4701,1032.31,Dinamica,
700,9800,2248,224.547,Dinamica,
2800,4700,4129,524.022,Dinamica,
8900,1000,7548,394.068,Dinamica,
2000,8300,3411,655.57,Dinamica,
1100,5500,2675,205.436,Dinamica,
8800,1700,7811,683.78,Dinamica,
2800,5000,4675,563.115,Dinamica,
9800,50,4233,21.5832,Dinamica,
3700,1200,4404,172.794,Dinamica,
400,6400,2124,74.8879,Dinamica,
1300,700,2775,30.0203,Dinamica,
1300,7500,2648,354.215,Dinamica,
2200,2200,3585,180.689,Dinamica,
3300,8200,5231,1265.74,Dinamica,
300,2400,1247,23.3312,Dinamica,
5700,1700,6371,398.865,Dinamica,
4600,600,5953,104.766,Dinamica,
6000,1900,6991,484.812,Dinamica,
4800,2700,5496,530.947,Dinamica,
1400,7200,3079,361.883,Dinamica,
7400,8300,6718,3321.23,Dinamica,
3400,3900,4831,549.909,Dinamica,
5300,5100,5717,1207.01,Dinamica,
6000,9600,6568,2930.76,Dinamica,
2300,4500,4549,393.207,Dinamica,
2400,7400,4005,763.352,Dinamica,
5500,5900,5915,1538.03,Dinamica,
9700,600,7188,251.552,Dinamica,
5900,8700,6412,2645.94,Dinamica,
6700,5400,6915,1814.05,Dinamica,
1000,8300,2752,282.143,Dinamica,
3600,5800,4661,894.216,Dinamica,
1200,6200,2683,247.531,Dinamica,
3000,9900,4810,1275.02,Dinamica,
2400,2300,3886,201.485,Dinamica,
7200,9900,7475,3764.53,Dinamica,
3000,3300,4600,374.924,Dinamica,
4000,5600,5583,960.579,Dinamica,
6600,3300,6429,984.61,Dinamica,
3100,2300,4270,273.741,Dinamica,
5900,2000,5745,493.916,Dinamica,
9100,4600,7582,2188.49,Dinamica,
3800,4500,5690,731.825,Dinamica,
5100,9300,5661,2391.65,Dinamica,
6900,6600,7069,2221.91,Dinamica,
3100,6900,3773,918.797,Dinamica,
5800,2300,5749,560.516,Dinamica,
3700,6300,5405,1000.78,Dinamica,
400,5000,2003,55.661,Dinamica,
4700,5200,5474,1084.9,Dinamica,
4400,4600,4950,868.641,Dinamica,
2900,3000,4626,343.429,Dinamica,
7800,6700,7045,2735.32,Dinamica,
4400,4500,5363,843.424,Dinamica,
2100,3000,3671,226.184,Dinamica,
4700,2500,5273,491.445,Dinamica,
8400,5800,7783,2574.55,Dinamica,
6200,8200,6580,2526.67,Dinamica,
3300,7900,4547,1153.53,Dinamica,
9500,3400,7438,1593.7,Dinamica,
4800,9400,5534,2309.48,Dinamica,
4600,6200,5571,1236.46,Dinamica,
8900,10000,7358,5010.9,Dinamica,
700,6400,1681,133.928,Dinamica,
100,3300,880,9.17182,Dinamica,
6200,4200,6133,1177.68,Dinamica,
9600,1900,8084,868.286,Dinamica,
10000,2400,8370,1146.53,Dinamica,
4900,1100,6068,222.352,Dinamica,
1500,3500,3085,175.823,Dinamica,
7400,9700,7415,3984.47,Dinamica,
2800,8500,4235,1080.36,Dinamica,
7900,4800,6829,1927.41,Dinamica,
1300,5600,3338,248.074,Dinamica,
1800,5300,3082,336.743,Dinamica,
2100,5600,3733,443.262,Dinamica,
3300,6400,4585,887.008,Dinamica,
900,5100,2515,136.971,Dinamica,
3200,9500,5126,1381.4,Dinamica,
2400,50,2745,6.4749,Dinamica,
2000,1200,3272,84.7724,Dinamica,
9600,9900,8196,5658.01,Dinamica,
6500,8200,6390,2728.62,Dinamica,
3000,5400,4241,645.32,Dinamica,
3700,10000,5489,1694.27,Dinamica,
7000,5800,7300,1988.73,Dinamica,
4100,600,5230,93.6806,Dinamica,
7000,1000,6426,295.959,Dinamica,
3100,700,4430,82.7559,Dinamica,
1200,4000,2765,154.425,Dinamica,
300,3900,1288,32.7907,Dinamica,
4100,1900,5226,316.41,Dinamica,
5600,7800,6450,2091.5,Dinamica,
7000,6500,6763,2304.97,Dinamica,
8000,2200,7069,823.314,Dinamica,
9800,10000,7956,5621.04,Dinamica,
4300,400,5261,69.3236,Dinamica,
6200,6300,6582,1836.55,Dinamica,
7000,5600,6032,1884.59,Dinamica,
6300,9200,6764,3006.46,Dinamica,
2300,500,3391,45.2805,Dinamica,
3400,7600,4872,1127.78,Dinamica,
1700,8600,2767,581.231,Dinamica,
6500,8300,6796,2931.69,Dinamica,
8900,400,7285,144.8,Dinamica,
2100,4700,3495,358.575,Dinamica,
8900,1700,7503,699.267,Dinamica,
3700,1600,4853,232.376,Dinamica,
8700,7900,8285,3861.78,Dinamica,
2400,9100,3902,936.816,Dinamica,
600,10000,2133,179.869,Dinamica,
50,9900,609,4.32949,Dinamica,
2200,9800,4150,920.834,Dinamica,
1900,9900,3379,751.89,Dinamica,
5000,9100,5719,2306.54,Dinamica,
4300,100,4138,19.3226,Dinamica,
7100,3700,6434,1225.28,Dinamica,
2600,9300,4241,1051.66,Dinamica,
3600,100,3884,15.5477,Dinamica,
4900,8800,5831,2087.68,Dinamica,
9900,3500,7949,1749.12,Dinamica,
9100,8900,8043,4808.34,Dinamica,
4300,9700,5260,2060.09,Dinamica,
7300,8000,6979,3137.85,Dinamica,
9200,9600,8041,5067.51,Dinamica,
900,6200,2566,175.148,Dinamica,
3200,3700,4602,453.742,Dinamica,
5800,8000,6319,2351.41,Dinamica,
9100,8600,8212,4324.2,Dinamica,
5700,500,6195,109.74,Dinamica,
6500,3200,6858,930.603,Dinamica,
7400,4900,6750,1774.55,Dinamica,
900,6400,2226,187.775,Dinamica,
7100,5700,6492,1951.25,Dinamica,
5900,2800,6232,715.321,Dinamica,
400,4300,1110,50.1884,Dinamica,
9000,4100,7688,1947.14,Dinamica,
2900,500,4811,57.7544,Dinamica,
3100,7700,5045,1009.8,Dinamica,
3200,4700,4889,627.818,Dinamica,
7100,7200,6186,2620.48,Dinamica,
9700,800,6963,336.143,Dinamica,
100,8400,1088,22.4475,Dinamica,
5300,7900,6498,2011.09,Dinamica,
5100,4900,6161,1124.86,Dinamica,
8600,400,6791,141.769,Dinamica,
8800,8100,7371,4223.82,Dinamica,
5500,8100,6304,2245.28,Dinamica,
9900,1500,7577,699.385,Dinamica,
4400,1700,6314,304.3,Dinamica,
8900,7400,7457,3621.95,Dinamica,
9300,7800,7570,3943.43,Dinamica,
6900,3600,7019,1097.67,Dinamica,
2100,7800,4418,643.988,Dinamica,
2100,6800,3776,551.498,Dinamica,
6800,6100,6344,2026.97,Dinamica,
9100,2100,8190,902.113,Dinamica,
8000,7700,7530,3414.38,Dinamica,
9200,1000,8059,440.788,Dinamica,
5900,7000,5716,2140.74,Dinamica,
6500,3000,7092,917.814,Dinamica,
9300,9700,8440,4978.16,Dinamica,
5900,6800,6299,1917.71,Dinamica,
2900,3200,4260,355.8,Dinamica,
1900,9200,3748,702.681,Dinamica,
1900,1100,3720,76.7935,Dinamica,
7200,3300,6418,1096.3,Dinamica,
500,4900,2049,72.118,Dinamica,
9400,5400,7641,2693.55,Dinamica,
5800,9900,6399,2926.78,Dinamica,
6800,3700,7426,1139.23,Dinamica,
7300,5300,6943,1838.03,Dinamica,
8700,4700,7790,2001.47,Dinamica,
2300,2700,3442,296.692,Dinamica,
9700,10000,8605,5653.67,Dinamica,
9800,4000,7646,1970.64,Dinamica,
2300,800,3533,64.9907,Dinamica,
7000,700,7211,211.341,Dinamica,
8900,9400,8052,4563.58,Dinamica,
3900,2300,5287,350.536,Dinamica,
6100,200,6211,48.9806,Dinamica,
7100,1000,6459,294.265,Dinamica,
2600,2100,4394,202.845,Dinamica,
7400,6300,7211,2308.96,Dinamica,
7700,3400,8038,1221.4,Dinamica,
5800,8600,5579,2558.54,Dinamica,
4500,6700,5739,1326.34,Dinamica,
4200,8900,5150,1747.26,Dinamica,
9400,3700,8085,1762.18,Dinamica,
5400,1600,5525,352.681,Dinamica,
4700,2700,5868,525.227,Dinamica,
