n,W,b,Tiempo,Metodo,Nodos
139,100,639,63.0195,Backtracking_fact,6760220
140,100,970,30324,Backtracking_fact,
141,100,817,674.545,Backtracking_fact,73380454
142,100,590,52.3236,Backtracking_fact,5270350
143,100,876,261.251,Backtracking_fact,28232013
144,100,1110,10445.2,Backtracking_fact,1118330200
145,100,890,4812.83,Backtracking_fact,524818598
146,100,1122,6299.71,Backtracking_fact,689677823
147,100,981,26566.6,Backtracking_fact,
148,100,894,7065.49,Backtracking_fact,786033789
149,100,826,1607.4,Backtracking_fact,177340452
150,100,805,588.528,Backtracking_fact,63728911
151,100,689,3321.29,Backtracking_fact,360164737
152,100,778,2607.88,Backtracking_fact,281608196
153,100,934,2343.22,Backtracking_fact,258041643
154,100,971,15387.5,Backtracking_fact,1659720326
155,100,1118,96589.5,Backtracking_fact,2094262893
156,100,1284,1.40862e+06,Backtracking_fact,1088034156
157,100,1000,3583.44,Backtracking_fact,399912903
158,100,1144,53821.5,Backtracking_fact,1572212901
159,100,1066,12893.9,Backtracking_fact,1403110022
2,100,80,0.006649,Backtracking_fact,5
3,100,17,0.013022,Backtracking_fact,7
4,100,164,0.013651,Backtracking_fact,30
5,100,75,0.018311,Backtracking_fact,11
6,100,144,0.016112,Backtracking_fact,18
7,100,140,0.01921,Backtracking_fact,23
8,100,195,0.016484,Backtracking_fact,47
9,100,310,0.011781,Backtracking_fact,64
10,100,154,0.01157,Backtracking_fact,57
11,100,207,0.015295,Backtracking_fact,103
12,100,407,0.01725,Backtracking_fact,427
13,100,309,0.01861,Backtracking_fact,281
14,100,285,0.019286,Backtracking_fact,112
15,100,236,0.020203,Backtracking_fact,209
16,100,252,0.018182,Backtracking_fact,506
17,100,355,0.032087,Backtracking_fact,1060
18,100,347,0.029365,Backtracking_fact,695
19,100,380,0.045923,Backtracking_fact,1855
20,100,488,0.057004,Backtracking_fact,2441
21,100,357,0.069373,Backtracking_fact,1321
22,100,340,0.02886,Backtracking_fact,632
23,100,331,0.046677,Backtracking_fact,1598
24,100,434,0.031317,Backtracking_fact,802
25,100,469,0.078282,Backtracking_fact,3480
26,100,382,0.042491,Backtracking_fact,2651
27,100,529,0.183055,Backtracking_fact,15882
28,100,472,0.071719,Backtracking_fact,3144
29,100,507,0.119803,Backtracking_fact,6285
2,100,115,0.010484,Backtracking_fact,7
3,100,26,0.016028,Backtracking_fact,7
4,100,108,0.00928,Backtracking_fact,12
5,100,140,0.009147,Backtracking_fact,14
6,100,182,0.01269,Backtracking_fact,28
7,100,258,0.010603,Backtracking_fact,54
8,100,285,0.012153,Backtracking_fact,75
9,100,137,0.012629,Backtracking_fact,41
10,100,215,0.016227,Backtracking_fact,67
11,100,270,0.011983,Backtracking_fact,146
12,100,303,0.014845,Backtracking_fact,314
13,100,174,0.014176,Backtracking_fact,66
14,100,387,0.016927,Backtracking_fact,394
15,100,243,0.016309,Backtracking_fact,112
16,100,289,0.02504,Backtracking_fact,448
17,100,201,0.019495,Backtracking_fact,80
18,100,300,0.043603,Backtracking_fact,972
19,100,456,0.048483,Backtracking_fact,1963
20,100,283,0.028889,Backtracking_fact,246
21,100,246,0.01962,Backtracking_fact,245
22,100,345,0.030115,Backtracking_fact,1189
23,100,206,0.025141,Backtracking_fact,749
24,100,311,0.041102,Backtracking_fact,1109
25,100,246,0.035122,Backtracking_fact,1102
26,100,233,0.039999,Backtracking_fact,2348
27,100,340,0.137372,Backtracking_fact,6659
28,100,377,0.032106,Backtracking_fact,1482
29,100,391,0.070411,Backtracking_fact,3146
30,100,343,0.038176,Backtracking_fact,1723
31,100,506,0.12867,Backtracking_fact,11434
