n,W,b,Tiempo,Metodo
2000,1000,3490,34.4064,Dinamica
2000,1000,3786,36.0825,Dinamica
2000,1000,3262,36.3073,Dinamica
2000,1000,4106,35.2012,Dinamica
2000,1000,3576,34.4547,Dinamica
2000,1000,3711,35.5588,Dinamica
2000,1000,3553,36.949,Dinamica
3000,1000,4683,60.5884,Dinamica
3000,1000,4886,56.2966,Dinamica
3000,1000,4486,58.673,Dinamica
3000,1000,4365,59.7347,Dinamica
3000,1000,4236,58.8293,Dinamica
3000,1000,4370,56.4241,Dinamica
3000,1000,4260,56.3565,Dinamica
3000,1000,3964,57.7607,Dinamica
3000,1000,4521,54.6114,Dinamica
3000,1000,4324,57.2889,Dinamica
4000,1000,5071,81.6976,Dinamica
4000,1000,5424,79.713,Dinamica
4000,1000,5151,82.3424,Dinamica
4000,1000,4991,78.9161,Dinamica
4000,1000,5460,82.4121,Dinamica
4000,1000,4427,82.5777,Dinamica
4000,1000,4999,80.261,Dinamica
4000,1000,4139,77.4837,Dinamica
4000,1000,5458,82.2933,Dinamica
4000,1000,5261,82.4453,Dinamica
5000,1000,5143,101.274,Dinamica
5000,1000,6366,101.742,Dinamica
5000,1000,5645,101.269,Dinamica
5000,1000,5771,102.708,Dinamica
5000,1000,5299,102.509,Dinamica
5000,1000,5810,102.133,Dinamica
5000,1000,5713,98.816,Dinamica
5000,1000,5703,101.536,Dinamica
5000,1000,5630,103.768,Dinamica
5000,1000,5511,101.958,Dinamica
6000,1000,6082,124.434,Dinamica
6000,1000,5865,120.421,Dinamica
6000,1000,6286,125.376,Dinamica
6000,1000,6435,127.591,Dinamica
6000,1000,6025,123.712,Dinamica
6000,1000,5851,122.982,Dinamica
6000,1000,5816,126.717,Dinamica
6000,1000,5851,123,Dinamica
6000,1000,6619,127.735,Dinamica
6000,1000,5853,126.801,Dinamica
7000,1000,6174,145.524,Dinamica
7000,1000,6773,150.705,Dinamica
7000,1000,7127,148.141,Dinamica
7000,1000,6593,146.679,Dinamica
7000,1000,6309,149.073,Dinamica
7000,1000,6665,146.315,Dinamica
7000,1000,6923,150.349,Dinamica
7000,1000,6526,149.955,Dinamica
7000,1000,7032,147.405,Dinamica
7000,1000,7546,145.257,Dinamica
8000,1000,6967,171.036,Dinamica
8000,1000,6421,167.68,Dinamica
8000,1000,7022,168.696,Dinamica
8000,1000,6875,172.726,Dinamica
8000,1000,6899,166.215,Dinamica
8000,1000,7028,173.473,Dinamica
8000,1000,6836,168.207,Dinamica
8000,1000,6701,167.842,Dinamica
8000,1000,7246,169.249,Dinamica
8000,1000,7207,172.909,Dinamica
9000,1000,7900,193.445,Dinamica
9000,1000,7438,188.51,Dinamica
9000,1000,7550,191.837,Dinamica
9000,1000,7425,191.594,Dinamica
9000,1000,7585,194.811,Dinamica
9000,1000,7257,192.687,Dinamica
9000,1000,7871,191.257,Dinamica
9000,1000,7194,192.39,Dinamica
9000,1000,7711,191.64,Dinamica
9000,1000,6965,190.943,Dinamica
1000,2000,3027,33.2773,Dinamica
1000,2000,2578,33.3874,Dinamica
1000,2000,2762,32.6444,Dinamica
1000,2000,2329,31.3013,Dinamica
1000,2000,2795,30.2875,Dinamica
1000,2000,2586,30.3002,Dinamica
1000,2000,2774,29.324,Dinamica
1000,2000,2476,29.2919,Dinamica
1000,2000,2589,30.9103,Dinamica
1000,2000,2596,28.3662,Dinamica
2000,2000,3470,70.2108,Dinamica
2000,2000,4310,70.5325,Dinamica
2000,2000,3482,70.9903,Dinamica
2000,2000,3402,73.6199,Dinamica
2000,2000,3695,75.2494,Dinamica
2000,2000,3734,75.2783,Dinamica
2000,2000,3337,69.4538,Dinamica
2000,2000,3485,76.8022,Dinamica
2000,2000,3713,70.995,Dinamica
2000,2000,3589,70.519,Dinamica
3000,2000,3669,113.308,Dinamica
3000,2000,4755,118.616,Dinamica
3000,2000,4643,120.982,Dinamica
3000,2000,4362,112.359,Dinamica
3000,2000,4543,121.315,Dinamica
3000,2000,4380,124.152,Dinamica
3000,2000,4909,115.179,Dinamica
3000,2000,4044,111.368,Dinamica
3000,2000,3623,118.317,Dinamica
3000,2000,4353,114.47,Dinamica
4000,2000,5728,158.739,Dinamica
4000,2000,5558,163.299,Dinamica
4000,2000,4972,159.53,Dinamica
4000,2000,5591,164.269,Dinamica
4000,2000,5534,173.219,Dinamica
4000,2000,5234,170.589,Dinamica
4000,2000,4792,159.148,Dinamica
4000,2000,4908,172.392,Dinamica
